Elevation (ft),Storage (ac-ft),Elevation (ft),Storage (ac-ft)
1232.72,60620,1232.72,60620
1232.73,60670,1232.73,60670
1232.74,60720,1232.74,60720
1232.75,60770,1232.75,60770
1232.76,60820,1232.76,60820
1232.77,60880,1232.77,60880
1232.78,60930,1232.78,60930
1232.79,60980,1232.79,60980
1232.8,61030,1232.8,61030
1232.81,61080,1232.81,61080
1232.82,61140,1232.82,61140
1232.83,61190,1232.83,61190
1232.84,61240,1232.84,61240
1232.85,61290,1232.85,61290
1232.86,61340,1232.86,61340
1232.87,61400,1232.87,61400
1232.88,61450,1232.88,61450
1232.89,61500,1232.89,61500
1232.9,61550,1232.9,61550
1232.91,61610,1232.91,61610
1232.92,61660,1232.92,61660
1232.93,61710,1232.93,61710
1232.94,61760,1232.94,61760
1232.95,61810,1232.95,61810
1232.96,61870,1232.96,61870
1232.97,61920,1232.97,61920
1232.98,61980,1232.98,61980
1232.99,62020,1232.99,62020
1233,62070,1233,62070
1233.01,62130,1233.01,62130
1233.02,62180,1233.02,62180
1233.03,62230,1233.03,62230
1233.04,62280,1233.04,62280
1233.05,62350,1233.05,62350
1233.06,62390,1233.06,62390
1233.07,62440,1233.07,62440
1233.08,62490,1233.08,62490
1233.09,62540,1233.09,62540
